Sequence_Name,Source_File,Sequence_Length,pI,MW,Polar_Pct,A_Pct,L_Pct,V_Pct,I_Pct,P_Pct,F_Pct,W_Pct,M_Pct,G_Pct,GRAVY_Score,Avg_KD_Hydrophobicity,Max_KD_Hydrophobicity
Acasunlimab_Heavy_Chain_1,acasunlimab.py,121,8.07,12983.29,49.59,661.16,826.45,661.16,165.29,330.58,578.51,247.93,165.29,1404.96,-0.16,-0.14,1.65
Acasunlimab_Light_Chain_1,acasunlimab.py,108,5.07,11462.43,53.70,555.56,555.56,1111.11,277.78,648.15,185.19,185.19,0.00,1111.11,-0.39,-0.41,1.44
Acasunlimab_Heavy_Chain_2,acasunlimab.py,117,6.46,12724.15,49.57,598.29,1025.64,854.70,256.41,170.94,256.41,341.88,170.94,1367.52,-0.09,-0.07,1.65
Acasunlimab_Light_Chain_2,acasunlimab.py,110,5.65,11646.85,53.64,909.09,545.45,545.45,727.27,454.55,272.73,90.91,90.91,1000.00,-0.10,-0.11,1.68
Alnuctamab_TNFRSF17-CD269-BCMA-TNFRSF13A_Heavy_Chain_1,alnuctamab.py,116,6.45,12445.76,49.14,775.86,948.28,775.86,172.41,258.62,344.83,344.83,172.41,1293.10,-0.13,-0.11,1.65
Alnuctamab_TNFRSF17-CD269-BCMA-TNFRSF13A_Light_Chain_1,alnuctamab.py,109,5.24,11914.07,55.05,642.20,825.69,366.97,458.72,733.94,458.72,91.74,0.00,917.43,-0.42,-0.43,1.66
Alnuctamab_CD3E_Heavy_Chain_2,alnuctamab.py,125,9.18,13954.41,54.40,720.00,800.00,800.00,160.00,160.00,400.00,320.00,160.00,1040.00,-0.32,-0.30,1.65
Alnuctamab_CD3E_Light_Chain_2,alnuctamab.py,109,7.98,11242.46,45.87,1009.17,1009.17,733.94,91.74,550.46,275.23,275.23,0.00,1467.89,-0.08,-0.10,1.44
Amivantamab_Heavy_Chain_1,amivantamab.py,125,8.59,13932.53,52.00,560.00,640.00,1040.00,240.00,160.00,320.00,320.00,320.00,1200.00,-0.27,-0.25,1.65
Amivantamab_Light_Chain_1,amivantamab.py,107,5.18,11509.69,56.07,654.21,841.12,467.29,560.75,560.75,467.29,93.46,0.00,747.66,-0.22,-0.23,1.26
Amivantamab_Heavy_Chain_2,amivantamab.py,119,7.94,13211.51,57.98,672.27,588.24,840.34,168.07,168.07,168.07,336.13,252.10,1008.40,-0.41,-0.39,1.65
Amivantamab_Light_Chain_2,amivantamab.py,107,8.73,11495.78,52.34,747.66,747.66,373.83,654.21,560.75,560.75,186.92,93.46,841.12,-0.14,-0.14,1.84
Amostomig_Heavy_Chain_1,amostomig.py,134,5.26,14913.30,58.96,522.39,597.01,671.64,223.88,149.25,223.88,298.51,223.88,1194.03,-0.44,-0.43,1.22
Amostomig_Light_Chain_1,amostomig.py,110,6.04,11433.56,50.91,727.27,727.27,636.36,363.64,545.45,181.82,90.91,181.82,1454.55,-0.21,-0.22,1.44
Amostomig_Heavy_Chain_2,amostomig.py,122,6.85,13057.48,48.36,901.64,983.61,819.67,163.93,245.90,327.87,327.87,245.90,1147.54,-0.09,-0.07,2.33
Amostomig_Light_Chain_2,amostomig.py,110,6.04,11433.56,50.91,727.27,727.27,636.36,363.64,545.45,181.82,90.91,181.82,1454.55,-0.21,-0.22,1.44
Arumakimig_Heavy_Chain_1,arumakimig.py,119,8.03,12914.37,52.94,924.37,504.20,924.37,336.13,336.13,252.10,252.10,252.10,924.37,-0.22,-0.20,1.65
Arumakimig_Light_Chain_1,arumakimig.py,110,6.91,11704.75,54.55,454.55,727.27,636.36,454.55,636.36,272.73,181.82,0.00,1181.82,-0.36,-0.38,1.66
Arumakimig_Heavy_Chain_2,arumakimig.py,118,7.95,13105.51,50.85,677.97,762.71,932.20,254.24,254.24,338.98,338.98,169.49,1186.44,-0.29,-0.27,1.65
Arumakimig_Light_Chain_2,arumakimig.py,107,6.99,11610.80,57.94,560.75,654.21,467.29,560.75,654.21,560.75,93.46,0.00,654.21,-0.37,-0.37,1.66
Bafisontamab_EGFR-ERBB1-HER1_Heavy_Chain_1,bafisontamab.py,119,7.95,12955.33,56.30,336.13,756.30,756.30,588.24,336.13,168.07,336.13,84.03,1008.40,-0.21,-0.20,1.33
Bafisontamab_EGFR-ERBB1-HER1_Light_Chain_1,bafisontamab.py,107,5.07,11610.77,55.14,560.75,747.66,373.83,654.21,560.75,560.75,93.46,93.46,841.12,-0.30,-0.30,0.97
Bafisontamab_MET-HGFR_Heavy_Chain_2,bafisontamab.py,117,8.57,12845.14,56.41,940.17,512.82,940.17,85.47,170.94,170.94,341.88,256.41,940.17,-0.34,-0.31,1.65
Bafisontamab_MET-HGFR_Light_Chain_2,bafisontamab.py,107,9.04,11418.69,53.27,747.66,654.21,467.29,560.75,560.75,467.29,186.92,93.46,934.58,-0.22,-0.22,1.84
Besufetamig_Heavy_Chain_1,besufetamig.py,127,6.29,14117.68,51.97,708.66,708.66,944.88,157.48,314.96,472.44,393.70,236.22,866.14,-0.15,-0.13,1.33
Besufetamig_Light_Chain_1,besufetamig.py,107,8.64,11515.67,58.88,560.75,654.21,373.83,560.75,654.21,373.83,93.46,93.46,747.66,-0.37,-0.37,1.84
Besufetamig_Heavy_Chain_2,besufetamig.py,118,9.47,13241.66,54.24,508.47,677.97,932.20,169.49,254.24,338.98,423.73,169.49,1101.69,-0.44,-0.42,1.65
Besufetamig_Light_Chain_2,besufetamig.py,107,8.64,11515.67,58.88,560.75,654.21,373.83,560.75,654.21,373.83,93.46,93.46,747.66,-0.37,-0.37,1.84
Bexatamig_IL3RA-CD123_Heavy_Chain_1,bexatamig.py,120,9.25,13381.08,54.17,750.00,583.33,500.00,416.67,250.00,333.33,416.67,416.67,916.67,-0.32,-0.31,1.33
Bexatamig_IL3RA-CD123_Light_Chain_1,bexatamig.py,113,4.69,12461.60,59.29,442.48,796.46,442.48,442.48,619.47,265.49,176.99,88.50,796.46,-0.54,-0.54,1.28
Bexatamig_NCR1-NKP46-NKp46-LY94-CD335_Heavy_Chain_2,bexatamig.py,120,8.84,13231.63,57.50,833.33,416.67,833.33,250.00,250.00,166.67,250.00,250.00,1000.00,-0.47,-0.45,1.22
Bexatamig_NCR1-NKP46-NKp46-LY94-CD335_Light_Chain_2,bexatamig.py,107,9.04,11762.98,57.94,373.83,560.75,373.83,654.21,560.75,467.29,186.92,93.46,934.58,-0.47,-0.47,0.82
Cevostamab_Heavy_Chain_1,cevostamab.py,120,6.99,12968.31,53.33,500.00,1000.00,1083.33,166.67,333.33,250.00,333.33,0.00,1000.00,-0.14,-0.12,1.65
Cevostamab_Light_Chain_1,cevostamab.py,107,8.96,11771.04,57.94,373.83,560.75,654.21,467.29,654.21,467.29,93.46,93.46,841.12,-0.42,-0.42,0.93
Cevostamab_Heavy_Chain_2,cevostamab.py,119,5.80,13485.76,59.66,672.27,504.20,840.34,336.13,252.10,336.13,336.13,0.00,756.30,-0.48,-0.46,1.65
Cevostamab_Light_Chain_2,cevostamab.py,112,9.55,12434.94,58.93,446.43,892.86,535.71,535.71,357.14,357.14,178.57,89.29,714.29,-0.40,-0.41,1.28
Cibisatamab_CEACAM5-CD66e-and-CD3E_Heavy_Chain_1,cibisatamab.py,121,5.07,13551.95,55.37,826.45,330.58,991.74,82.64,165.29,413.22,413.22,330.58,909.09,-0.38,-0.36,1.22
Cibisatamab_CEACAM5-CD66e-and-CD3E_Light_Chain_1,cibisatamab.py,108,9.30,11870.25,56.48,740.74,648.15,462.96,462.96,555.56,462.96,92.59,92.59,833.33,-0.31,-0.31,1.24
Cibisatamab_CD3E_Heavy_Chain_2,cibisatamab.py,121,5.07,13551.95,55.37,826.45,330.58,991.74,82.64,165.29,413.22,413.22,330.58,909.09,-0.38,-0.36,1.22
Cibisatamab_CD3E_Light_Chain_2,cibisatamab.py,109,7.98,11242.46,45.87,1009.17,1009.17,733.94,91.74,550.46,275.23,275.23,0.00,1467.89,-0.08,-0.10,1.44
Ciduvectamig_Heavy_Chain_1,ciduvectamig.py,118,6.85,12715.04,51.69,593.22,932.20,762.71,169.49,338.98,338.98,254.24,254.24,1186.44,-0.20,-0.18,1.65
Ciduvectamig_Light_Chain_1,ciduvectamig.py,107,7.95,11523.74,55.14,560.75,841.12,373.83,560.75,560.75,373.83,93.46,93.46,1028.04,-0.32,-0.32,1.84
Ciduvectamig_Heavy_Chain_2,ciduvectamig.py,120,9.30,13601.94,59.17,500.00,916.67,750.00,250.00,416.67,250.00,416.67,0.00,583.33,-0.46,-0.45,1.65
Ciduvectamig_Light_Chain_2,ciduvectamig.py,110,9.01,11394.52,55.45,636.36,818.18,636.36,363.64,454.55,272.73,90.91,0.00,1181.82,-0.22,-0.23,1.44
Davutamig_Heavy_Chain_1,davutamig.py,121,4.58,13539.76,55.37,743.80,826.45,743.80,247.93,165.29,330.58,330.58,165.29,909.09,-0.35,-0.33,1.65
Davutamig_Light_Chain_1,davutamig.py,108,8.66,11670.87,58.33,555.56,740.74,277.78,648.15,648.15,370.37,92.59,92.59,740.74,-0.33,-0.33,1.84
Davutamig_Heavy_Chain_2,davutamig.py,117,6.08,12716.16,50.43,854.70,854.70,854.70,341.88,170.94,341.88,256.41,256.41,1025.64,0.00,0.02,1.74
Davutamig_Light_Chain_2,davutamig.py,108,8.66,11670.87,58.33,555.56,740.74,277.78,648.15,648.15,370.37,92.59,92.59,740.74,-0.33,-0.33,1.84
Denecimig_Heavy_Chain_1,denecimig.py,122,8.99,13371.85,50.82,573.77,819.67,901.64,245.90,163.93,409.84,327.87,163.93,1311.48,-0.21,-0.19,1.65
Denecimig_Light_Chain_1,denecimig.py,107,9.20,11823.15,58.88,560.75,654.21,280.37,654.21,467.29,467.29,186.92,93.46,747.66,-0.39,-0.39,0.92
Denecimig_Heavy_Chain_2,denecimig.py,120,5.57,13327.77,55.00,500.00,583.33,750.00,416.67,333.33,333.33,416.67,333.33,833.33,-0.25,-0.23,1.65
Denecimig_Light_Chain_2,denecimig.py,109,8.07,11951.18,55.96,458.72,1009.17,275.23,458.72,550.46,550.46,91.74,0.00,1009.17,-0.39,-0.39,1.66
Dilpacimab_Heavy_Chain_1,dilpacimab.py,118,8.65,12845.17,51.69,847.46,762.71,762.71,169.49,338.98,423.73,254.24,169.49,1101.69,-0.23,-0.21,1.65
Dilpacimab_Light_Chain_1,dilpacimab.py,107,4.81,11757.86,58.88,560.75,747.66,280.37,560.75,654.21,373.83,93.46,93.46,747.66,-0.53,-0.53,0.93
Dilpacimab_Heavy_Chain_2,dilpacimab.py,123,6.99,13727.09,52.85,731.71,731.71,731.71,81.30,325.20,406.50,406.50,162.60,1138.21,-0.33,-0.31,1.65
Dilpacimab_Light_Chain_2,dilpacimab.py,107,6.75,11703.85,58.88,373.83,560.75,560.75,560.75,560.75,467.29,186.92,93.46,747.66,-0.34,-0.34,1.72
Elranatamab_Heavy_Chain_1,elranatamab.py,115,8.06,12377.84,46.96,695.65,956.52,695.65,347.83,434.78,260.87,347.83,260.87,1304.35,-0.08,-0.06,1.65
Elranatamab_Light_Chain_1,elranatamab.py,108,6.47,11877.16,54.63,648.15,925.93,370.37,462.96,648.15,370.37,185.19,92.59,833.33,-0.34,-0.34,1.66
Elranatamab_Heavy_Chain_2,elranatamab.py,121,8.99,13493.89,54.55,743.80,743.80,826.45,165.29,330.58,330.58,247.93,165.29,991.74,-0.41,-0.40,1.22
Elranatamab_Light_Chain_2,elranatamab.py,112,8.62,12353.73,57.14,535.71,892.86,535.71,446.43,446.43,446.43,178.57,89.29,714.29,-0.37,-0.37,1.28
Emicizumab_H1_TargetF9,emicizumab.py,119,4.91,13268.50,60.50,504.20,588.24,756.30,252.10,168.07,168.07,252.10,336.13,924.37,-0.63,-0.61,1.65
Emicizumab_L1_TargetF9,emicizumab.py,107,6.41,11857.09,58.88,560.75,654.21,373.83,654.21,654.21,280.37,93.46,93.46,747.66,-0.58,-0.58,0.93
Emicizumab_H2_TargetF10,emicizumab.py,123,9.20,13736.09,55.28,487.80,731.71,731.71,243.90,243.90,325.20,325.20,81.30,1300.81,-0.47,-0.45,1.65
Emicizumab_L2_TargetF10,emicizumab.py,107,6.41,11857.09,58.88,560.75,654.21,373.83,654.21,654.21,280.37,93.46,93.46,747.66,-0.58,-0.58,0.93
Epcoritamab_Heavy_Chain_1|Target:CD3E,epcoritamab.py,125,9.13,14029.54,55.20,720.00,720.00,800.00,160.00,160.00,400.00,320.00,240.00,960.00,-0.38,-0.36,1.65
Epcoritamab_Light_Chain_1|Target:CD3E,epcoritamab.py,109,8.76,11347.60,45.87,1009.17,733.94,825.69,366.97,458.72,458.72,275.23,0.00,1284.40,0.05,0.03,1.44
Epcoritamab_Heavy_Chain_2|Target:MS4A1/CD20,epcoritamab.py,122,6.09,13537.91,54.10,737.70,737.70,737.70,327.87,163.93,245.90,327.87,245.90,1065.57,-0.33,-0.32,1.22
Epcoritamab_Light_Chain_2|Target:MS4A1/CD20,epcoritamab.py,107,8.08,11694.92,54.21,841.12,934.58,280.37,560.75,654.21,373.83,186.92,0.00,747.66,-0.31,-0.31,1.66
Etentamig_Heavy_Chain_1,etentamig.py,123,8.04,13360.69,51.22,813.01,894.31,650.41,243.90,162.60,243.90,325.20,162.60,1382.11,-0.33,-0.31,1.65
Etentamig_Light_Chain_1,etentamig.py,107,8.72,11646.86,54.21,841.12,654.21,467.29,467.29,560.75,373.83,280.37,93.46,841.12,-0.32,-0.32,1.28
Etentamig_Heavy_Chain_2,etentamig.py,119,6.86,12677.84,53.78,588.24,756.30,756.30,168.07,336.13,252.10,168.07,168.07,1428.57,-0.45,-0.43,1.65
Etentamig_Light_Chain_2,etentamig.py,107,8.72,11646.86,54.21,841.12,654.21,467.29,467.29,560.75,373.83,280.37,93.46,841.12,-0.32,-0.32,1.28
Etuptamig_Heavy_Chain_1,etuptamig.py,117,6.40,12988.38,56.41,427.35,512.82,940.17,170.94,170.94,341.88,341.88,341.88,1111.11,-0.41,-0.39,1.65
Etuptamig_Light_Chain_1,etuptamig.py,107,8.93,11622.87,57.01,654.21,560.75,467.29,560.75,560.75,467.29,93.46,93.46,841.12,-0.36,-0.36,0.93
Etuptamig_Heavy_Chain_2,etuptamig.py,125,8.90,13952.39,54.40,880.00,640.00,880.00,160.00,160.00,400.00,320.00,160.00,960.00,-0.36,-0.35,2.08
Etuptamig_Light_Chain_2,etuptamig.py,109,8.08,11445.79,44.95,917.43,1100.92,825.69,91.74,642.20,275.23,366.97,0.00,1284.40,-0.06,-0.08,1.44
Fanastomig_LAG3-CD223_Heavy_Chain_1,fanastomig.py,113,4.97,12425.66,56.64,796.46,530.97,973.45,353.98,265.49,176.99,353.98,88.50,796.46,-0.35,-0.33,1.22
Fanastomig_LAG3-CD223_Light_Chain_1,fanastomig.py,107,6.34,11585.81,56.07,747.66,1028.04,280.37,560.75,467.29,280.37,93.46,93.46,841.12,-0.26,-0.26,1.32
Fanastomig_PDCD1-CD279-PD1_Heavy_Chain_2,fanastomig.py,121,6.99,13139.41,55.37,578.51,661.16,909.09,247.93,165.29,165.29,247.93,247.93,1239.67,-0.32,-0.31,1.22
Fanastomig_PDCD1-CD279-PD1_Light_Chain_2,fanastomig.py,107,6.75,11679.88,56.07,560.75,560.75,373.83,654.21,654.21,280.37,280.37,93.46,934.58,-0.41,-0.41,1.61
Faricimab_VEGFA_Heavy_Chain_1,faricimab.py,123,6.09,13804.18,52.85,731.71,731.71,731.71,81.30,325.20,406.50,406.50,162.60,1138.21,-0.33,-0.31,1.65
Faricimab_VEGFA_Light_Chain_1,faricimab.py,107,6.75,11685.82,58.88,373.83,654.21,560.75,560.75,560.75,467.29,186.92,0.00,747.66,-0.32,-0.32,1.72
Faricimab_ANGPT2_Heavy_Chain_2,faricimab.py,129,8.86,14381.88,55.04,697.67,310.08,775.19,232.56,465.12,232.56,310.08,387.60,1085.27,-0.49,-0.48,1.33
Faricimab_ANGPT2_Light_Chain_2,faricimab.py,108,5.07,11522.48,53.70,555.56,462.96,1018.52,370.37,648.15,185.19,277.78,0.00,1111.11,-0.40,-0.42,1.44
Fazpilodemab_Heavy_Chain_1,fazpilodemab.py,120,4.87,12971.25,51.67,750.00,916.67,916.67,333.33,166.67,166.67,333.33,83.33,1166.67,-0.11,-0.09,1.65
Fazpilodemab_Light_Chain_1,fazpilodemab.py,111,4.76,12216.38,56.76,630.63,720.72,630.63,450.45,540.54,270.27,180.18,90.09,810.81,-0.49,-0.49,1.66
Fazpilodemab_Heavy_Chain_2,fazpilodemab.py,116,4.29,12473.59,52.59,775.86,689.66,862.07,258.62,258.62,258.62,258.62,172.41,1206.90,-0.21,-0.19,1.65
Fazpilodemab_Light_Chain_2,fazpilodemab.py,107,7.95,11519.70,57.01,654.21,560.75,560.75,467.29,654.21,467.29,93.46,93.46,747.66,-0.28,-0.28,1.96
Forimtamig_GPRC5D_Heavy_Chain_1,forimtamig.py,118,9.15,13075.64,52.54,762.71,423.73,1016.95,338.98,508.47,254.24,423.73,169.49,847.46,-0.27,-0.25,1.22
Forimtamig_GPRC5D_Light_Chain_1,forimtamig.py,111,6.86,12125.53,54.05,450.45,1081.08,270.27,720.72,630.63,360.36,90.09,90.09,900.90,-0.27,-0.28,1.88
Forimtamig_CD3E_Heavy_Chain_2,forimtamig.py,125,9.13,13990.44,56.80,640.00,800.00,800.00,160.00,240.00,320.00,240.00,160.00,960.00,-0.36,-0.34,1.65
Forimtamig_CD3E_Light_Chain_2,forimtamig.py,109,7.98,11242.46,45.87,1009.17,1009.17,733.94,91.74,550.46,275.23,275.23,0.00,1467.89,-0.08,-0.10,1.44
Glofitamab_CD3E_Heavy_Chain_1,glofitamab.py,125,9.18,13954.41,54.40,720.00,800.00,800.00,160.00,160.00,400.00,320.00,160.00,1040.00,-0.32,-0.30,1.65
Glofitamab_CD3E_Light_Chain_1,glofitamab.py,109,7.98,11242.46,45.87,1009.17,1009.17,733.94,91.74,550.46,275.23,275.23,0.00,1467.89,-0.08,-0.10,1.44
Glofitamab_MS4A1-CD20_Heavy_Chain_2,glofitamab.py,119,8.57,13145.56,52.94,672.27,504.20,1008.40,252.10,252.10,336.13,420.17,168.07,1092.44,-0.31,-0.29,1.65
Glofitamab_MS4A1-CD20_Light_Chain_2,glofitamab.py,112,5.70,12195.72,51.79,267.86,1071.43,714.29,535.71,714.29,267.86,89.29,178.57,982.14,-0.13,-0.13,1.28
Gremubamab_Heavy_Chain_1,gremubamab.py,124,5.24,13580.04,52.42,725.81,806.45,725.81,241.94,241.94,322.58,241.94,322.58,1129.03,-0.20,-0.19,1.58
Gremubamab_Light_Chain_1,gremubamab.py,107,8.65,11653.89,56.07,560.75,747.66,373.83,560.75,560.75,373.83,186.92,93.46,934.58,-0.37,-0.38,1.57
Gremubamab_Heavy_Chain_2,gremubamab.py,119,8.49,13029.57,55.46,504.20,924.37,672.27,504.20,504.20,84.03,336.13,84.03,840.34,-0.23,-0.22,1.33
Gremubamab_Light_Chain_2,gremubamab.py,107,8.91,11597.79,57.01,560.75,747.66,373.83,560.75,467.29,373.83,280.37,0.00,934.58,-0.37,-0.37,1.30
Ivicentamab_Heavy_Chain_1,ivicentamab.py,120,6.47,13119.48,52.50,750.00,1083.33,666.67,166.67,166.67,250.00,333.33,166.67,1166.67,-0.19,-0.17,1.65
Ivicentamab_Light_Chain_1,ivicentamab.py,110,6.29,11733.97,52.73,818.18,545.45,727.27,454.55,545.45,545.45,90.91,90.91,909.09,-0.16,-0.16,1.29
Ivicentamab_Heavy_Chain_2,ivicentamab.py,119,6.48,12848.17,49.58,924.37,924.37,672.27,252.10,252.10,252.10,420.17,168.07,1176.47,-0.22,-0.20,1.82
Ivicentamab_Light_Chain_2,ivicentamab.py,110,7.98,11823.02,57.27,727.27,636.36,363.64,636.36,454.55,363.64,90.91,90.91,909.09,-0.38,-0.38,1.01
Linclatamig_Heavy_Chain_1,linclatamig.py,112,4.89,12084.44,47.32,982.14,982.14,803.57,178.57,267.86,357.14,357.14,267.86,1071.43,0.00,0.02,1.65
Linclatamig_Light_Chain_1,linclatamig.py,111,9.20,12092.37,59.46,450.45,630.63,360.36,540.54,540.54,450.45,90.09,90.09,900.90,-0.48,-0.48,0.93
Linclatamig_Heavy_Chain_2,linclatamig.py,119,6.86,13485.80,59.66,672.27,504.20,840.34,336.13,252.10,336.13,336.13,0.00,756.30,-0.49,-0.47,1.65
Linclatamig_Light_Chain_2,linclatamig.py,112,8.64,12389.81,57.14,535.71,892.86,535.71,535.71,446.43,357.14,178.57,89.29,714.29,-0.36,-0.36,1.28
Linvoseltamab_Heavy_Chain_1,linvoseltamab.py,125,4.82,13948.33,56.00,640.00,720.00,800.00,160.00,160.00,400.00,320.00,240.00,960.00,-0.35,-0.33,1.65
Linvoseltamab_Light_Chain_1,linvoseltamab.py,108,8.66,11670.87,58.33,555.56,740.74,277.78,648.15,648.15,370.37,92.59,92.59,740.74,-0.33,-0.33,1.84
Linvoseltamab_Heavy_Chain_2,linvoseltamab.py,124,8.59,13555.91,53.23,645.16,806.45,725.81,161.29,161.29,322.58,322.58,161.29,1370.97,-0.37,-0.36,1.22
Linvoseltamab_Light_Chain_2,linvoseltamab.py,108,8.66,11670.87,58.33,555.56,740.74,277.78,648.15,648.15,370.37,92.59,92.59,740.74,-0.33,-0.33,1.84
Lomvastomig_PDCD1-CD279-PD1_Heavy_Chain_1,lomvastomig.py,120,8.05,12977.45,50.00,583.33,1083.33,833.33,250.00,250.00,333.33,250.00,166.67,1250.00,-0.05,-0.03,1.89
Lomvastomig_PDCD1-CD279-PD1_Light_Chain_1,lomvastomig.py,111,4.58,12177.29,58.56,450.45,630.63,720.72,540.54,450.45,360.36,180.18,90.09,720.72,-0.40,-0.40,1.28
Lomvastomig_HAVCR2-TIM3_Heavy_Chain_2,lomvastomig.py,119,8.03,12994.44,49.58,1008.40,672.27,840.34,252.10,336.13,336.13,336.13,168.07,1092.44,-0.25,-0.23,1.65
Lomvastomig_HAVCR2-TIM3_Light_Chain_2,lomvastomig.py,107,5.68,11793.04,55.14,467.29,560.75,841.12,560.75,747.66,280.37,93.46,93.46,841.12,-0.33,-0.34,1.28
Lutikizumab_IL1A_Heavy_Chain_1,lutikizumab.py,119,8.68,12941.35,49.58,420.17,588.24,1008.40,252.10,420.17,504.20,252.10,168.07,1428.57,-0.26,-0.24,1.40
Lutikizumab_IL1A_Light_Chain_1,lutikizumab.py,107,7.97,11749.97,57.01,560.75,654.21,280.37,747.66,560.75,373.83,186.92,93.46,841.12,-0.32,-0.33,0.92
Lutikizumab_IL1B_Heavy_Chain_2,lutikizumab.py,122,9.51,13362.07,47.54,737.70,819.67,1065.57,245.90,409.84,491.80,245.90,163.93,1065.57,-0.09,-0.07,1.54
Lutikizumab_IL1B_Light_Chain_2,lutikizumab.py,107,6.76,11492.64,56.07,560.75,747.66,467.29,467.29,467.29,467.29,186.92,93.46,934.58,-0.29,-0.28,1.17
Marlotamig_Heavy_Chain_1,marlotamig.py,121,5.68,13348.77,56.20,330.58,661.16,991.74,578.51,413.22,165.29,330.58,82.64,826.45,-0.15,-0.14,1.30
Marlotamig_Light_Chain_1,marlotamig.py,108,8.06,11677.85,54.63,648.15,833.33,370.37,462.96,648.15,370.37,185.19,0.00,1018.52,-0.35,-0.35,1.66
Marlotamig_Heavy_Chain_2,marlotamig.py,122,8.87,13603.14,55.74,327.87,655.74,901.64,573.77,409.84,81.97,409.84,81.97,983.61,-0.20,-0.19,1.22
