Therapeutic,Total_SASA,Net_Charge,Hydro_SASA,Ch_A_Fv_Hydro,Ch_A_Fc_Hydro,Ch_A_Max_Patch,Ch_A_SASA,Ch_A_Charge,Ch_B_Fv_Hydro,Ch_B_Fc_Hydro,Ch_B_Max_Patch,Ch_B_SASA,Ch_B_Charge,Ch_C_Fv_Hydro,Ch_C_Fc_Hydro,Ch_C_Max_Patch,Ch_C_SASA,Ch_C_Charge,Ch_D_Fv_Hydro,Ch_D_Fc_Hydro,Ch_D_Max_Patch,Ch_D_SASA,Ch_D_Charge
Abagovomab,6785.37,19.2,2658.62,0.3971,0.4181,76.6,2592.72,9,0,0.337,0,799.97,0.6,0.3971,0.4181,76.6,2592.72,9,0,0.337,0,799.97,0.6
Abelacimab,7140.15,12.2,2696.23,0.4412,0.3351,0,2819.49,5.9,0,0.4175,0,750.59,0.2,0.4412,0.3351,0,2819.49,5.9,0,0.4175,0,750.59,0.2
Actoxumab,7736.06,12.6,2773.24,0.4254,0.3447,28.98,3413.53,5,0,0.2391,9.66,454.5,1.3,0.4254,0.3447,28.98,3413.53,5,0,0.2391,9.66,454.5,1.3
Adalimumab,7152.71,12.6,3025.89,0.6116,0.3442,0,2996.95,2.1,0,0.2489,3.62,579.41,4.2,0.6116,0.3442,0,2996.95,2.1,0,0.2489,3.62,579.41,4.2
Adebrelimab,7681.06,0.6,2736.97,0.4289,0.2645,0,2302.1,3.8,0,0.3998,0,1538.43,-3.5,0.4289,0.2645,0,2302.1,3.8,0,0.3998,0,1538.43,-3.5
Aducanumab,6277.57,26.4,2121.92,0.392,0.2599,115.2,2330.4,12,0,0.4506,0,808.38,1.2,0.392,0.2599,115.2,2330.4,12,0,0.4506,0,808.38,1.2
Afimkibart,6360.54,16.4,2281.7,0.5255,0.2744,0,2249.51,8,0,0.4044,51.93,930.76,0.2,0.5255,0.2744,0,2249.51,8,0,0.4044,51.93,930.76,0.2
Alemtuzumab,6577.49,20.6,3643.54,0.6784,0.5413,0,2483.26,7,0,0.4409,0,805.48,3.3,0.6784,0.5413,0,2483.26,7,0,0.4409,0,805.48,3.3
Alirocumab,7946.48,10.4,2599.74,0.5142,0.2493,0,3285.45,6,0,0.1731,0,687.79,-0.8,0.5142,0.2493,0,3285.45,6,0,0.1731,0,687.79,-0.8
Amlenetug,5866.07,10.2,2343.61,0.2897,0.4457,0,2456.94,4.9,0,0.4745,28.44,476.09,0.2,0.2897,0.4457,0,2456.94,4.9,0,0.4745,28.44,476.09,0.2
Amlitelimab,6335.51,6,3101.61,0.5605,0.4016,0,2373.24,3.7,0,0.5239,10.89,794.51,-0.7,0.5605,0.4016,0,2373.24,3.7,0,0.5239,10.89,794.51,-0.7
Andecaliximab,9637.61,6.2,3309.41,0.3466,0.2981,0,2454.93,1.8,0,0.3707,141.6,2363.87,1.3,0.3466,0.2981,0,2454.93,1.8,0,0.3707,141.6,2363.87,1.3
Anifrolumab,6792.4,8.4,3190.29,0.6301,0.5241,67.53,2133.31,5,0,0.3162,22.94,1262.89,-0.8,0.6301,0.5241,67.53,2133.31,5,0,0.3162,22.94,1262.89,-0.8
Anselamimab,7533.33,14.8,2882.08,0.3038,0.3675,0,2103.25,5,0,0.4458,0,1663.42,2.4,0.3038,0.3675,0,2103.25,5,0,0.4458,0,1663.42,2.4
Ansuvimab,7880.41,12.8,3063.44,0.4795,0.3065,0,3002.34,5,0,0.345,10.87,937.87,1.4,0.4795,0.3065,0,3002.34,5,0,0.345,10.87,937.87,1.4
Arcitumomab,6596.46,22.6,2976.63,0.5131,0.4389,0,2345.01,7.9,0,0.4047,0,953.23,3.4,0.5131,0.4389,0,2345.01,7.9,0,0.4047,0,953.23,3.4
Astegolimab,8330.97,-3.8,3502.64,0.4732,0.4746,0,2727.4,2.9,0,0.319,0,1438.09,-4.8,0.4732,0.4746,0,2727.4,2.9,0,0.319,0,1438.09,-4.8
Atezolizumab,7296.63,10.8,3437.41,0.5799,0.4354,119.85,3194.12,5.1,0,0.1721,1.21,454.2,0.3,0.5799,0.4354,119.85,3194.12,5.1,0,0.1721,1.21,454.2,0.3
Atigotatug,7911.99,10.2,3273.13,0.4702,0.4018,0,3578.46,4.9,0,0.2872,1.21,377.54,0.2,0.4702,0.4018,0,3578.46,4.9,0,0.2872,1.21,377.54,0.2
Atisnolerbart,6618.68,4,2992.01,0.5151,0.4922,0,2619.37,1.8,0,0.2629,39.4,689.97,0.2,0.5151,0.4922,0,2619.37,1.8,0,0.2629,39.4,689.97,0.2
Avelumab,7150.91,16.4,3345.05,0.5921,0.4673,27.66,2949.05,6.9,0,0.2269,0,626.41,1.3,0.5921,0.4673,27.66,2949.05,6.9,0,0.2269,0,626.41,1.3
Balstilimab,5811.11,10.2,2831.99,0.5949,0.5092,82.92,1826.38,2.9,0,0.3886,0,1079.17,2.2,0.5949,0.5092,82.92,1826.38,2.9,0,0.3886,0,1079.17,2.2
Bamlanivimab,6386.8,22.4,2951.32,0.6086,0.3967,132.9,2460.24,9,0,0.4787,1.21,733.16,2.2,0.6086,0.3967,132.9,2460.24,9,0,0.4787,1.21,733.16,2.2
Barzolvolimab,6513.86,24.2,2480.22,0.4122,0.3752,0,2451.83,9.9,0,0.3549,0,805.1,2.2,0.4122,0.3752,0,2451.83,9.9,0,0.3549,0,805.1,2.2
Basiliximab,9349.44,20.8,4157.06,0.483,0.488,0,2030.3,7.1,0,0.4121,0,2644.42,3.3,0.483,0.488,0,2030.3,7.1,0,0.4121,0,2644.42,3.3
Bavituximab,7657.36,6.8,3687.51,0.467,0.5591,0,2781.33,6.2,0,0.3471,0,1047.35,-2.8,0.467,0.5591,0,2781.33,6.2,0,0.3471,0,1047.35,-2.8
