Antibody_Name,Format_Folder,Source_File,Sequence_Length_Total_AA,pI,MW,Polar_Pct,GRAVY_Score,Avg_KD_Hydrophobicity,Max_KD_Hydrophobicity,AA_A_Pct,AA_C_Pct,AA_D_Pct,AA_E_Pct,AA_F_Pct,AA_G_Pct,AA_H_Pct,AA_I_Pct,AA_K_Pct,AA_L_Pct,AA_M_Pct,AA_N_Pct,AA_P_Pct,AA_Q_Pct,AA_R_Pct,AA_S_Pct,AA_T_Pct,AA_V_Pct,AA_W_Pct,AA_Y_Pct
acasunlimab,Bispecific_mAb,acasunlimab.py,456,5.896,48762.678,0.515,-0.182,-0.180,1.944,679.825,175.439,482.456,328.947,328.947,1228.070,87.719,350.877,307.018,745.614,109.649,197.368,394.737,482.456,438.596,1359.649,701.754,789.474,219.298,592.105
alnuctamab,Bispecific_mAb,alnuctamab.py,459,8.316,49502.658,0.512,-0.239,-0.242,1.678,784.314,174.292,326.797,413.943,370.370,1176.471,43.573,217.865,326.797,893.246,87.146,326.797,413.943,501.089,479.303,1154.684,806.100,675.381,261.438,566.449
amivantamab,Bispecific_mAb,amivantamab.py,458,8.468,50095.464,0.546,-0.262,-0.261,1.844,655.022,174.672,480.349,283.843,371.179,960.699,65.502,393.013,393.013,698.690,174.672,196.507,349.345,633.188,458.515,1310.044,873.362,698.690,240.175,589.520
amostomig,Bispecific_mAb,amostomig.py,476,5.908,50783.858,0.525,-0.245,-0.247,2.333,714.286,210.084,378.151,336.134,231.092,1302.521,126.050,273.109,231.092,756.303,210.084,399.160,357.143,483.193,399.160,1008.403,1071.429,693.277,210.084,609.244
arumakimig,Bispecific_mAb,arumakimig.py,454,8.067,49281.376,0.540,-0.305,-0.303,2.156,660.793,176.211,440.529,330.396,352.423,991.189,110.132,396.476,418.502,660.793,110.132,286.344,462.555,638.767,396.476,1299.559,748.899,748.899,220.264,550.661
bafisontamab,Bispecific_mAb,bafisontamab.py,450,8.284,48775.896,0.553,-0.264,-0.265,1.844,644.444,177.778,466.667,244.444,333.333,933.333,66.667,466.667,466.667,666.667,133.333,222.222,400.000,666.667,311.111,1377.778,977.778,644.444,244.444,555.556
besufetamig,Bispecific_mAb,besufetamig.py,459,8.921,50336.645,0.558,-0.324,-0.322,1.844,588.235,174.292,348.584,239.651,392.157,871.460,87.146,348.584,392.157,675.381,152.505,239.651,457.516,827.887,370.370,1394.336,936.819,675.381,261.438,566.449
bexatamig,Bispecific_mAb,bexatamig.py,460,8.833,50783.238,0.572,-0.449,-0.447,1.467,608.696,173.913,413.043,369.565,304.348,913.043,43.478,434.783,608.696,586.957,217.391,239.130,413.043,652.174,347.826,1347.826,826.087,543.478,260.870,695.652
cevostamab,Bispecific_mAb,cevostamab.py,458,8.858,50605.995,0.574,-0.359,-0.357,1.433,502.183,174.672,458.515,349.345,349.345,829.694,87.336,371.179,567.686,742.358,43.668,262.009,393.013,567.686,414.847,1353.712,873.362,786.026,240.175,633.188
cibisatamab,Bispecific_mAb,cibisatamab.py,459,8.004,50162.558,0.534,-0.291,-0.293,1.440,849.673,174.292,326.797,501.089,392.157,1023.965,21.786,174.292,501.089,566.449,196.078,174.292,348.584,522.876,370.370,936.819,1176.471,806.100,305.011,631.808
ciduvectamig,Bispecific_mAb,ciduvectamig.py,455,8.943,49181.196,0.554,-0.301,-0.304,1.844,571.429,175.824,417.582,219.780,307.692,989.011,65.934,329.670,351.648,879.121,87.912,307.692,439.560,637.363,461.538,1560.440,791.209,637.363,219.780,549.451
davutamig,Bispecific_mAb,davutamig.py,454,6.007,49543.618,0.555,-0.251,-0.249,1.844,682.819,176.211,506.608,264.317,352.423,859.031,66.079,462.555,330.396,792.952,154.185,242.291,396.476,660.793,396.476,1475.771,792.952,550.661,198.238,638.767
denecimig,Bispecific_mAb,denecimig.py,458,8.724,50419.906,0.550,-0.308,-0.306,1.289,524.017,174.672,393.013,414.847,436.681,982.533,87.336,436.681,458.515,764.192,152.838,109.170,371.179,611.354,480.349,1550.218,676.856,567.686,262.009,545.852
