Sequence_Name,Source_File,Sequence_Length,pI,MW,Polar_Pct,A_Pct,L_Pct,V_Pct,I_Pct,P_Pct,F_Pct,W_Pct,M_Pct,G_Pct,GRAVY_Score,Avg_KD_Hydrophobicity,Max_KD_Hydrophobicity
Acasunlimab_Heavy_Chain_1,acasunlimab.py,121,8.07,12983.29,0.5,6.61,8.26,6.61,1.65,3.31,5.79,2.48,1.65,14.05,-0.16,-0.14,1.65
Acasunlimab_Light_Chain_1,acasunlimab.py,108,5.07,11462.43,0.54,5.56,5.56,11.11,2.78,6.48,1.85,1.85,0,11.11,-0.39,-0.41,1.44
Acasunlimab_Heavy_Chain_2,acasunlimab.py,117,6.46,12724.15,0.5,5.98,10.26,8.55,2.56,1.71,2.56,3.42,1.71,13.68,-0.09,-0.07,1.65
Acasunlimab_Light_Chain_2,acasunlimab.py,110,5.65,11646.85,0.54,9.09,5.45,5.45,7.27,4.55,2.73,0.91,0.91,10,-0.1,-0.11,1.68
Alnuctamab_TNFRSF17-CD269-BCMA-TNFRSF13A_Heavy_Chain_1,alnuctamab.py,116,6.45,12445.76,0.49,7.76,9.48,7.76,1.72,2.59,3.45,3.45,1.72,12.93,-0.13,-0.11,1.65
Alnuctamab_TNFRSF17-CD269-BCMA-TNFRSF13A_Light_Chain_1,alnuctamab.py,109,5.24,11914.07,0.55,6.42,8.26,3.67,4.59,7.34,4.59,0.92,0,9.17,-0.42,-0.43,1.66
Alnuctamab_CD3E_Heavy_Chain_2,alnuctamab.py,125,9.18,13954.41,0.54,7.2,8,8,1.6,1.6,4,3.2,1.6,10.4,-0.32,-0.3,1.65
Alnuctamab_CD3E_Light_Chain_2,alnuctamab.py,109,7.98,11242.46,0.46,10.09,10.09,7.34,0.92,5.5,2.75,2.75,0,14.68,-0.08,-0.1,1.44
Amivantamab_Heavy_Chain_1,amivantamab.py,125,8.59,13932.53,0.52,5.6,6.4,10.4,2.4,1.6,3.2,3.2,3.2,12,-0.27,-0.25,1.65
Amivantamab_Light_Chain_1,amivantamab.py,107,5.18,11509.69,0.56,6.54,8.41,4.67,5.61,5.61,4.67,0.93,0,7.48,-0.22,-0.23,1.26
Amivantamab_Heavy_Chain_2,amivantamab.py,119,7.94,13211.51,0.58,6.72,5.88,8.4,1.68,1.68,1.68,3.36,2.52,10.08,-0.41,-0.39,1.65
Amivantamab_Light_Chain_2,amivantamab.py,107,8.73,11495.78,0.52,7.48,7.48,3.74,6.54,5.61,5.61,1.87,0.93,8.41,-0.14,-0.14,1.84
Amostomig_Heavy_Chain_1,amostomig.py,134,5.26,14913.3,0.59,5.22,5.97,6.72,2.24,1.49,2.24,2.99,2.24,11.94,-0.44,-0.43,1.22
Amostomig_Light_Chain_1,amostomig.py,110,6.04,11433.56,0.51,7.27,7.27,6.36,3.64,5.45,1.82,0.91,1.82,14.55,-0.21,-0.22,1.44
Amostomig_Heavy_Chain_2,amostomig.py,122,6.85,13057.48,0.48,9.02,9.84,8.2,1.64,2.46,3.28,3.28,2.46,11.48,-0.09,-0.07,2.33
Amostomig_Light_Chain_2,amostomig.py,110,6.04,11433.56,0.51,7.27,7.27,6.36,3.64,5.45,1.82,0.91,1.82,14.55,-0.21,-0.22,1.44
Arumakimig_Heavy_Chain_1,arumakimig.py,119,8.03,12914.37,0.53,9.24,5.04,9.24,3.36,3.36,2.52,2.52,2.52,9.24,-0.22,-0.2,1.65
Arumakimig_Light_Chain_1,arumakimig.py,110,6.91,11704.75,0.55,4.55,7.27,6.36,4.55,6.36,2.73,1.82,0,11.82,-0.36,-0.38,1.66
Arumakimig_Heavy_Chain_2,arumakimig.py,118,7.95,13105.51,0.51,6.78,7.63,9.32,2.54,2.54,3.39,3.39,1.69,11.86,-0.29,-0.27,1.65
Arumakimig_Light_Chain_2,arumakimig.py,107,6.99,11610.8,0.58,5.61,6.54,4.67,5.61,6.54,5.61,0.93,0,6.54,-0.37,-0.37,1.66
Bafisontamab_EGFR-ERBB1-HER1_Heavy_Chain_1,bafisontamab.py,119,7.95,12955.33,0.56,3.36,7.56,7.56,5.88,3.36,1.68,3.36,0.84,10.08,-0.21,-0.2,1.33
Bafisontamab_EGFR-ERBB1-HER1_Light_Chain_1,bafisontamab.py,107,5.07,11610.77,0.55,5.61,7.48,3.74,6.54,5.61,5.61,0.93,0.93,8.41,-0.3,-0.3,0.97
Bafisontamab_MET-HGFR_Heavy_Chain_2,bafisontamab.py,117,8.57,12845.14,0.56,9.4,5.13,9.4,0.85,1.71,1.71,3.42,2.56,9.4,-0.34,-0.31,1.65
Bafisontamab_MET-HGFR_Light_Chain_2,bafisontamab.py,107,9.04,11418.69,0.53,7.48,6.54,4.67,5.61,5.61,4.67,1.87,0.93,9.35,-0.22,-0.22,1.84
Besufetamig_Heavy_Chain_1,besufetamig.py,127,6.29,14117.68,0.52,7.09,7.09,9.45,1.57,3.15,4.72,3.94,2.36,8.66,-0.15,-0.13,1.33
Besufetamig_Light_Chain_1,besufetamig.py,107,8.64,11515.67,0.59,5.61,6.54,3.74,5.61,6.54,3.74,0.93,0.93,7.48,-0.37,-0.37,1.84
Besufetamig_Heavy_Chain_2,besufetamig.py,118,9.47,13241.66,0.54,5.08,6.78,9.32,1.69,2.54,3.39,4.24,1.69,11.02,-0.44,-0.42,1.65
Besufetamig_Light_Chain_2,besufetamig.py,107,8.64,11515.67,0.59,5.61,6.54,3.74,5.61,6.54,3.74,0.93,0.93,7.48,-0.37,-0.37,1.84
Bexatamig_IL3RA-CD123_Heavy_Chain_1,bexatamig.py,120,9.25,13381.08,0.54,7.5,5.83,5,4.17,2.5,3.33,4.17,4.17,9.17,-0.32,-0.31,1.33
Bexatamig_IL3RA-CD123_Light_Chain_1,bexatamig.py,113,4.69,12461.6,0.59,4.42,7.96,4.42,4.42,6.19,2.65,1.77,0.88,7.96,-0.54,-0.54,1.28
