pI,MW,Polar_Pct,A_Pct,L_Pct,Sequence_Name,Sequence_Length
9.65,13761.41,43.55,725.81,564.52,Aducanumab_Heavy_Chain,124
8.64,11460.64,50.47,560.75,747.66,Aducanumab_Light_Chain,107
6.85,13467.81,46.28,909.09,330.58,Cizutamig_TNFRSF17-CD269-BCMA-TNFRSF13A_Heavy_Chain_1,121
7.96,11489.77,46.73,654.21,841.12,Cizutamig_TNFRSF17-CD269-BCMA-TNFRSF13A_Light_Chain_1,107
6.85,13342.62,47.90,672.27,420.17,Cizutamig_CD3E_Heavy_Chain_2,119
9.20,12344.81,49.11,625.00,892.86,Cizutamig_CD3E_Light_Chain_2,112
